it	posterior	likelihood	prior	accuracy	test_accuracy	f_C0	f_C1	f_C2	f_C3	f_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	alpha_0	alpha_1	alpha_2	acc_prob	mcmc_id
17200	-1207.3132450883697	-54.47616574586455	-1152.8370793425051	0.9991166077738516	0.996	0.19920494699646643	0.19964664310954064	0.20053003533568906	0.19964664310954064	0.20097173144876326	0.09315435361230533	0.966099096175842	-0.7884164021685538	2.1604369305553224	-0.18264713153048276	3.0244673530551442	0.17754241605027735	0.979431287077962	0.12413145636831124	0.2491279069767442	0
17300	-1201.459716580776	-57.44649372482625	-1144.0132228559498	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.10021077979138775	0.9583927679798157	-0.792957531509077	2.19921052691326	-0.16863187109490826	2.9764660723618928	0.17949783294564886	0.9587378418926381	0.011645952427816717	0.2498265895953757	0
17400	-1204.3947497029842	-54.14538643747231	-1150.2493632655119	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.09926496006655881	0.9629245801786332	-0.7822528262522717	2.19712777306314	-0.14592000667599345	2.993981143478495	0.14033078277669417	0.9971807306858278	0.12512756455792276	0.24988505747126435	0
17500	-1201.0966172882058	-56.33019619127026	-1144.7664210969356	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.09676682731464754	0.962771781260479	-0.7663090050506075	2.170956306775654	-0.13337646457291555	2.990413462831885	0.11039031166229571	0.9950660749693121	0.018997608526957102	0.2498857142857143	0
17600	-1204.0450069784454	-58.15589900588944	-1145.8891079725558	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.09732554489334118	0.9626859566890656	-0.7508091816662819	2.1634082890508126	-0.09731723100693394	2.9919788374374505	0.13683548931698442	0.986333220054294	0.08079673046509663	0.2500568181818182	0
17700	-1203.2154811871405	-58.675851072875844	-1144.5396301142648	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.09395396386818157	0.9600585498255023	-0.7578149661118797	2.1630868418601703	-0.06968280746775635	3.007495112701921	0.07875863938329097	0.9906645134058422	0.10271118061248208	0.24988700564971753	0
17800	-1208.4504157854565	-62.305652613580364	-1146.144763171876	0.9986749116607774	0.996	0.19920494699646643	0.19920494699646643	0.20097173144876326	0.19964664310954064	0.20097173144876326	0.09823795057071402	0.9636211844548187	-0.7474866921664176	2.1705289099661824	-0.050856382522814894	3.0125326760727495	0.09305990979191785	0.9927023811908471	0.024262793739669553	0.2497752808988764	0
17900	-1203.7418087187473	-54.95457470394231	-1148.7872340148049	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.0952798524275952	0.9648781449208007	-0.7357828680251552	2.2189614118018546	-0.03786445306079583	3.004719353481444	0.0207453863908167	0.9950727467785396	0.10319664660445403	0.25027932960893856	0
18000	-1201.172613704142	-58.77350898695421	-1142.3991047171876	0.9991166077738516	0.996	0.19920494699646643	0.19964664310954064	0.20053003533568906	0.19964664310954064	0.20097173144876326	0.09773283460654707	0.959571104446495	-0.726123556155785	2.2017794152898205	-0.04351200883353847	3.0040506332772594	0.03515059928252245	0.9910608875087955	0.0026166154661451282	0.25044444444444447	0
18100	-1198.5552490468283	-59.561176834920815	-1138.9940722119075	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.10111969118009687	0.9563376078212446	-0.7240153173052701	2.1717521867918514	-0.035567205217564526	2.984539200546772	0.032950020542052594	0.992563993322469	0.06949577485746505	0.2508839779005525	0
