it	posterior	likelihood	prior	accuracy	test_accuracy	f_C0	f_C1	f_C2	f_C3	f_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2
23100	-1356.836983690532	-81.20789215208252	-1275.6290915384495	0.997789566755084	1.0	0.19938107869142352	0.20159151193633953	0.2002652519893899	0.19982316534040673	0.1989389920424403	0.029658170350108974	1.1309137027040375	0.33354963614597355	2.61370293351384	-0.16218159554979814	3.31184722529535
23200	-1355.9631618807175	-82.46706888103822	-1273.4960929996794	0.9991158267020336	1.0	0.19938107869142352	0.20114942528735633	0.19982316534040673	0.20070733863837312	0.1989389920424403	0.028387274604650497	1.12834862523534	0.3416122535142908	2.6121153974575484	-0.16561303301012217	3.3092051816127706
23300	-1360.4001315381365	-77.63680658616778	-1282.7633249519688	0.9991158267020336	1.0	0.19938107869142352	0.20114942528735633	0.19982316534040673	0.20070733863837312	0.1989389920424403	0.02693007470112455	1.134588336159222	0.3288853837861454	2.619062152897876	-0.17760189883898078	3.3612613979159245
23400	-1361.0071413150636	-75.36862802580983	-1285.6385132892538	0.9986737400530504	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.02311515834651641	1.1341881979890995	0.34021206635025103	2.6128478841195135	-0.12085058571778624	3.4056294893856123
23500	-1364.3634522143352	-74.1630623477945	-1290.2003898665407	0.9982316534040672	1.0	0.19938107869142352	0.20203359858532272	0.19982316534040673	0.19982316534040673	0.1989389920424403	0.013991271202849166	1.1402382015113748	0.3269811476558872	2.6032036785799892	-0.1027105165968958	3.417626267447968
23600	-1367.8164400229584	-75.61755829984293	-1292.1988817231154	0.997789566755084	1.0	0.19938107869142352	0.20114942528735633	0.20070733863837312	0.19982316534040673	0.1989389920424403	0.01484854275674027	1.1430242212114934	0.3483475350900613	2.6055621179587813	-0.11188234494944972	3.4127129032136407
23700	-1364.0476338893486	-71.31027729915434	-1292.7373565901944	0.9982316534040672	1.0	0.19938107869142352	0.20203359858532272	0.19982316534040673	0.19982316534040673	0.1989389920424403	0.013028947055548499	1.1417110787539915	0.35471183011834656	2.613676619308638	-0.10550662901159624	3.4238809568383894
23800	-1361.0529016084472	-69.1795146845839	-1291.8733869238633	0.997789566755084	1.0	0.19938107869142352	0.20159151193633953	0.2002652519893899	0.19982316534040673	0.1989389920424403	0.0196330824362298	1.1382598416241467	0.37383978394085227	2.6411300147780734	-0.12915298331857034	3.418705048863108
23900	-1363.6731622094526	-71.62883135840681	-1292.0443308510457	0.9982316534040672	1.0	0.19938107869142352	0.20203359858532272	0.19982316534040673	0.19982316534040673	0.1989389920424403	0.021131941153448637	1.142186623379648	0.33799616754894296	2.6687675531706523	-0.10078534920563488	3.3695540002789377
24000	-1359.5623915711974	-67.809518808831	-1291.7528727623665	0.997789566755084	1.0	0.19938107869142352	0.20247568523430592	0.19938107869142352	0.19982316534040673	0.1989389920424403	0.025305795502821773	1.1390772677081866	0.33184752089189784	2.695558234318582	-0.07055323895786828	3.3725609841915865
24100	-1354.4574496533269	-69.12253434020644	-1285.3349153131205	0.997789566755084	1.0	0.19938107869142352	0.20247568523430592	0.19938107869142352	0.19982316534040673	0.1989389920424403	0.02050421586196773	1.1366702617284405	0.31634964952305433	2.6916216691005586	-0.0811018735761394	3.3222559383778116
24200	-1357.266047914086	-69.22956012319166	-1288.0364877908942	0.997789566755084	1.0	0.19938107869142352	0.20203359858532272	0.19982316534040673	0.19982316534040673	0.1989389920424403	0.015479908257600586	1.1410324038962538	0.2935258010089313	2.671774347381957	-0.09228199830398358	3.3347061390369355
24300	-1355.4344618295847	-70.40609271406393	-1285.0283691155207	0.9986737400530504	1.0	0.19938107869142352	0.20159151193633953	0.19938107869142352	0.20070733863837312	0.1989389920424403	0.015506348131868896	1.1362156775884233	0.3022484092937124	2.685349037222734	-0.12803169715165075	3.32818229427655
24400	-1354.4161998380894	-69.27150322798326	-1285.1446966101062	0.997789566755084	1.0	0.19938107869142352	0.20203359858532272	0.19982316534040673	0.19982316534040673	0.1989389920424403	0.011479383821890534	1.1327495092252098	0.28491564084076265	2.704665784640137	-0.12589002648654884	3.346403711563617
24500	-1352.198566667847	-66.91375736509536	-1285.2848093027517	0.9986737400530504	1.0	0.19938107869142352	0.20114942528735633	0.19982316534040673	0.20070733863837312	0.1989389920424403	0.013136183223833767	1.1285689965382077	0.2952381166185646	2.7202284630352613	-0.13768285579971906	3.3703043452807453
24600	-1354.1142670179534	-68.08609279917613	-1286.0281742187772	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.014009534208866336	1.1286232410272143	0.32605203182939446	2.7371396206951095	-0.14335671125160565	3.361788301387519
24700	-1359.3027302965284	-63.840408749547336	-1295.462321546981	0.9986737400530504	1.0	0.19938107869142352	0.20114942528735633	0.19982316534040673	0.20070733863837312	0.1989389920424403	0.017491631657829715	1.1343545875069805	0.3071736017551811	2.737144495121552	-0.17434119723855418	3.423592061187935
24800	-1356.3349564945015	-64.22437763265626	-1292.1105788618452	0.9986737400530504	1.0	0.19938107869142352	0.20114942528735633	0.2002652519893899	0.2002652519893899	0.1989389920424403	0.014652330099768466	1.131996503284786	0.32549378566581566	2.7310865520540517	-0.15873785549772823	3.408784566622361
24900	-1351.369100602017	-65.71257683820316	-1285.6565237638138	0.9986737400530504	1.0	0.19938107869142352	0.20203359858532272	0.2002652519893899	0.19938107869142352	0.1989389920424403	0.01025109240203424	1.1292907009372322	0.3435492519798275	2.701889343951586	-0.13793212884578637	3.378889715068966
25000	-1355.1572592763139	-63.018956815550226	-1292.1383024607637	0.9991158267020336	1.0	0.19938107869142352	0.20070733863837312	0.2002652519893899	0.20070733863837312	0.1989389920424403	0.011747785060481311	1.1362920346505512	0.34744388533570464	2.709179048845984	-0.177269353482723	3.3868585613307958
25100	-1356.1017832946104	-58.854007772836454	-1297.247775521774	0.997789566755084	1.0	0.19938107869142352	0.20203359858532272	0.19982316534040673	0.19982316534040673	0.1989389920424403	0.01769854161441144	1.141658091354579	0.3498646245192637	2.723934965531362	-0.17756055858978537	3.3878779264681436
25200	-1360.1858309893532	-57.77719122620579	-1302.4086397631474	0.9995579133510168	1.0	0.19938107869142352	0.20114942528735633	0.2002652519893899	0.2002652519893899	0.1989389920424403	0.015620035784295709	1.144814665328889	0.36033558862713005	2.7521690190266184	-0.21192585656487817	3.3956927645097768
25300	-1362.953112660501	-56.081152403726016	-1306.8719602567749	0.9995579133510168	1.0	0.19938107869142352	0.20114942528735633	0.2002652519893899	0.2002652519893899	0.1989389920424403	0.013699276562114598	1.1498388436089504	0.36133023282569476	2.7433824337906114	-0.20884452275871154	3.4118429160900026
25400	-1366.8220551570155	-62.00482969424924	-1304.8172254627661	0.9995579133510168	1.0	0.19938107869142352	0.20114942528735633	0.2002652519893899	0.2002652519893899	0.1989389920424403	0.012958405473068193	1.149029258571453	0.37899991833644664	2.7501544699100413	-0.2016569299166735	3.387843955673083
25500	-1366.035648520075	-62.619225953011195	-1303.4164225670638	0.9991158267020336	1.0	0.19938107869142352	0.20159151193633953	0.19982316534040673	0.2002652519893899	0.1989389920424403	0.010211769812079236	1.1465743392854044	0.36457305838844417	2.7595398059560527	-0.16309804876375358	3.3890326702105287
25600	-1367.073668529435	-63.39239321058233	-1303.6812753188528	0.9991158267020336	1.0	0.19938107869142352	0.20159151193633953	0.19982316534040673	0.2002652519893899	0.1989389920424403	0.018343594207320103	1.1480433667176355	0.37552146242803963	2.724765163096685	-0.19877255534891486	3.403450301903745
25700	-1369.1230923260318	-64.41540419908779	-1304.707688126944	0.9991158267020336	1.0	0.19938107869142352	0.20159151193633953	0.19982316534040673	0.2002652519893899	0.1989389920424403	0.016740318457316043	1.153930121064104	0.38042128686572335	2.7049419751106405	-0.16715309598856198	3.381259967554333
25800	-1373.7379866134397	-66.5880475225492	-1307.1499390908905	0.9991158267020336	1.0	0.19938107869142352	0.20159151193633953	0.19982316534040673	0.2002652519893899	0.1989389920424403	0.020510160795915874	1.1593843690921595	0.3707276067928298	2.7145168784260263	-0.13586948344527155	3.3561909283429143
25900	-1373.8078352076272	-67.2330643709888	-1306.5747708366384	0.9995579133510168	1.0	0.19938107869142352	0.20114942528735633	0.2002652519893899	0.2002652519893899	0.1989389920424403	0.022024632770728397	1.1598476794558032	0.3867285334173259	2.720234573153369	-0.12749834937079058	3.3388066462792376
26000	-1370.304785395682	-67.11073234920545	-1303.1940530464767	0.9995579133510168	1.0	0.19938107869142352	0.20114942528735633	0.2002652519893899	0.2002652519893899	0.1989389920424403	0.02300949867845928	1.1563319066071442	0.38347460245017956	2.7252628875253184	-0.14326981016793586	3.325203116847633
26100	-1372.3909535232513	-68.46747018472053	-1303.9234833385308	0.9995579133510168	1.0	0.19938107869142352	0.20114942528735633	0.2002652519893899	0.2002652519893899	0.1989389920424403	0.01942379811972038	1.1589447983111865	0.39227881347417687	2.7649070260658943	-0.137912508246387	3.2772244858204336
26200	-1378.920103416311	-67.33688107491227	-1311.5832223413986	0.9995579133510168	1.0	0.19938107869142352	0.20114942528735633	0.2002652519893899	0.2002652519893899	0.1989389920424403	0.020697954252696854	1.1671864583209677	0.38788121777297485	2.790269456514148	-0.10630996817583764	3.2752557305882233
26300	-1381.5575229405817	-66.1870003393736	-1315.3705226012082	0.9995579133510168	1.0	0.19938107869142352	0.20114942528735633	0.2002652519893899	0.2002652519893899	0.1989389920424403	0.02072963398210987	1.1676092332940984	0.3864045898603779	2.7973846626260666	-0.09962781502903863	3.311728458998883
26400	-1382.2945175213233	-64.46276591854404	-1317.8317516027794	0.9991158267020336	1.0	0.19938107869142352	0.20159151193633953	0.19982316534040673	0.2002652519893899	0.1989389920424403	0.02151853613416726	1.170087837895055	0.36105849135396606	2.796866904787497	-0.09281576371918847	3.3222350048516285
26500	-1382.097295252633	-65.89332857890113	-1316.2039666737319	0.9991158267020336	1.0	0.19938107869142352	0.20159151193633953	0.19982316534040673	0.2002652519893899	0.1989389920424403	0.022010560504340488	1.1684590424255479	0.35955408645604614	2.7819771981869135	-0.11617415946422492	3.3292660476746216
26600	-1390.5426255385419	-70.78582542389478	-1319.7568001146471	0.9991158267020336	1.0	0.19938107869142352	0.20203359858532272	0.19938107869142352	0.2002652519893899	0.1989389920424403	0.019955926116123065	1.1719273976570177	0.3436142461793032	2.76193112359306	-0.11550977321303733	3.3590971276496675
